




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2507)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
reproduction (GO:0000003)	1462	241	177.97	+	1.35	1.18E-05	3.24E-04
protein localization to organelle (GO:0033365)	742	50	90.32	-	.55	1.18E-05	3.24E-04
artery morphogenesis (GO:0048844)	63	24	7.67	+	3.13	1.20E-05	3.27E-04
negative regulation of response to external stimulus (GO:0032102)	559	109	68.05	+	1.60	1.23E-05	3.36E-04
regulation of body fluid levels (GO:0050878)	494	99	60.13	+	1.65	1.24E-05	3.38E-04
protein targeting (GO:0006605)	322	14	39.20	-	.36	1.28E-05	3.47E-04
muscle contraction (GO:0006936)	241	58	29.34	+	1.98	1.29E-05	3.50E-04
cellular response to lipid (GO:0071396)	481	97	58.55	+	1.66	1.30E-05	3.51E-04
neural retina development (GO:0003407)	68	25	8.28	+	3.02	1.30E-05	3.52E-04
regulation of muscle system process (GO:0090257)	231	56	28.12	+	1.99	1.35E-05	3.64E-04
response to metal ion (GO:0010038)	379	81	46.14	+	1.76	1.35E-05	3.64E-04
embryonic placenta development (GO:0001892)	81	28	9.86	+	2.84	1.39E-05	3.74E-04
roof of mouth development (GO:0060021)	87	29	10.59	+	2.74	1.44E-05	3.86E-04
cardiocyte differentiation (GO:0035051)	107	33	13.02	+	2.53	1.46E-05	3.92E-04
regulation of morphogenesis of an epithelium (GO:1905330)	64	24	7.79	+	3.08	1.48E-05	3.94E-04
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	3	20.09	-	.15	1.47E-05	3.94E-04
excitatory postsynaptic potential (GO:0060079)	64	24	7.79	+	3.08	1.48E-05	3.95E-04
positive regulation of epithelial cell differentiation (GO:0030858)	55	22	6.70	+	3.29	1.49E-05	3.96E-04
activation of protein kinase activity (GO:0032147)	328	72	39.93	+	1.80	1.51E-05	4.00E-04
regulation of neuron death (GO:1901214)	316	70	38.47	+	1.82	1.54E-05	4.07E-04
cellular homeostasis (GO:0019725)	895	159	108.95	+	1.46	1.55E-05	4.09E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	101	0	12.29	-	 < 0.01	1.56E-05	4.12E-04
viral process (GO:0016032)	444	24	54.05	-	.44	1.63E-05	4.29E-04
central nervous system neuron development (GO:0021954)	88	29	10.71	+	2.71	1.67E-05	4.40E-04
reproductive process (GO:0022414)	1459	239	177.60	+	1.35	1.69E-05	4.45E-04
positive regulation of transferase activity (GO:0051347)	693	129	84.36	+	1.53	1.70E-05	4.46E-04
protein modification by small protein removal (GO:0070646)	295	12	35.91	-	.33	1.71E-05	4.49E-04
membrane organization (GO:0061024)	972	73	118.32	-	.62	1.80E-05	4.70E-04
negative regulation of cell motility (GO:2000146)	285	65	34.69	+	1.87	1.80E-05	4.71E-04
positive regulation of ion transmembrane transport (GO:0034767)	187	48	22.76	+	2.11	1.82E-05	4.74E-04
positive regulation of catalytic activity (GO:0043085)	1240	208	150.94	+	1.38	1.83E-05	4.77E-04
organelle assembly (GO:0070925)	796	56	96.90	-	.58	1.85E-05	4.81E-04
cellular response to organonitrogen compound (GO:0071417)	604	115	73.52	+	1.56	1.87E-05	4.86E-04
complement activation (GO:0006956)	177	4	21.55	-	.19	1.90E-05	4.92E-04
positive regulation of response to stimulus (GO:0048584)	2312	356	281.44	+	1.26	1.91E-05	4.95E-04
artery development (GO:0060840)	89	29	10.83	+	2.68	1.95E-05	5.03E-04
dopaminergic neuron differentiation (GO:0071542)	31	16	3.77	+	4.24	1.97E-05	5.06E-04
positive regulation of animal organ morphogenesis (GO:0110110)	31	16	3.77	+	4.24	1.97E-05	5.07E-04
muscle system process (GO:0003012)	288	65	35.06	+	1.85	2.00E-05	5.13E-04
regulation of axonogenesis (GO:0050770)	161	43	19.60	+	2.19	2.03E-05	5.22E-04
regulation of protein modification process (GO:0031399)	1654	266	201.34	+	1.32	2.04E-05	5.22E-04
mRNA transport (GO:0051028)	160	3	19.48	-	.15	2.05E-05	5.23E-04
memory (GO:0007613)	119	35	14.49	+	2.42	2.05E-05	5.23E-04
retina morphogenesis in camera-type eye (GO:0060042)	61	23	7.43	+	3.10	2.06E-05	5.25E-04
positive regulation of cellular component movement (GO:0051272)	558	108	67.92	+	1.59	2.07E-05	5.26E-04
localization (GO:0051179)	5831	813	709.80	+	1.15	2.09E-05	5.32E-04
positive regulation of cell motility (GO:2000147)	545	106	66.34	+	1.60	2.22E-05	5.63E-04
nephron tubule formation (GO:0072079)	17	12	2.07	+	5.80	2.29E-05	5.80E-04
regulation of cell junction assembly (GO:1901888)	202	50	24.59	+	2.03	2.34E-05	5.93E-04
regulation of heart rate (GO:0002027)	99	31	12.05	+	2.57	2.35E-05	5.93E-04
cardiac conduction (GO:0061337)	85	28	10.35	+	2.71	2.37E-05	5.96E-04
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	1	14.61	-	.07	2.49E-05	6.26E-04
oxidative phosphorylation (GO:0006119)	120	1	14.61	-	.07	2.49E-05	6.27E-04
protein modification by small protein conjugation (GO:0032446)	822	59	100.06	-	.59	2.51E-05	6.31E-04
positive regulation of hormone secretion (GO:0046887)	137	38	16.68	+	2.28	2.55E-05	6.38E-04
regulation of dopamine secretion (GO:0014059)	36	17	4.38	+	3.88	2.65E-05	6.63E-04
cytoplasmic translation (GO:0002181)	122	1	14.85	-	.07	2.67E-05	6.67E-04
adult locomotory behavior (GO:0008344)	74	26	9.01	+	2.89	2.68E-05	6.69E-04
positive regulation of transmembrane transport (GO:0034764)	238	56	28.97	+	1.93	2.71E-05	6.75E-04
multicellular organismal response to stress (GO:0033555)	67	24	8.16	+	2.94	2.71E-05	6.75E-04
negative regulation of secretion (GO:0051048)	165	43	20.09	+	2.14	2.79E-05	6.92E-04
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	60	31.89	+	1.88	2.80E-05	6.93E-04
regulation of neuronal synaptic plasticity (GO:0048168)	49	20	5.96	+	3.35	2.85E-05	7.04E-04
smooth muscle contraction (GO:0006939)	49	20	5.96	+	3.35	2.85E-05	7.05E-04
metanephric nephron morphogenesis (GO:0072273)	21	13	2.56	+	5.09	2.88E-05	7.10E-04
rRNA metabolic process (GO:0016072)	272	11	33.11	-	.33	3.00E-05	7.38E-04
negative regulation of neuron death (GO:1901215)	209	51	25.44	+	2.00	3.07E-05	7.55E-04
cell differentiation involved in kidney development (GO:0061005)	45	19	5.48	+	3.47	3.10E-05	7.62E-04
DNA conformation change (GO:0071103)	312	14	37.98	-	.37	3.11E-05	7.63E-04
cellular response to calcium ion (GO:0071277)	87	28	10.59	+	2.64	3.20E-05	7.83E-04
cellular response to nitrogen compound (GO:1901699)	664	123	80.83	+	1.52	3.22E-05	7.87E-04
calcium ion transport (GO:0006816)	244	57	29.70	+	1.92	3.28E-05	8.01E-04
activation of adenylate cyclase activity (GO:0007190)	41	18	4.99	+	3.61	3.32E-05	8.09E-04
response to inorganic substance (GO:0010035)	553	106	67.32	+	1.57	3.34E-05	8.11E-04
negative regulation of cellular component movement (GO:0051271)	293	65	35.67	+	1.82	3.34E-05	8.12E-04
mammary gland epithelium development (GO:0061180)	59	22	7.18	+	3.06	3.55E-05	8.56E-04
cardiac muscle tissue morphogenesis (GO:0055008)	59	22	7.18	+	3.06	3.55E-05	8.57E-04
ATP synthesis coupled electron transport (GO:0042773)	93	0	11.32	-	 < 0.01	3.54E-05	8.58E-04
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	0	11.32	-	 < 0.01	3.54E-05	8.59E-04
developmental maturation (GO:0021700)	235	55	28.61	+	1.92	3.65E-05	8.80E-04
viral transcription (GO:0019083)	116	1	14.12	-	.07	3.68E-05	8.86E-04
cardiac septum development (GO:0003279)	103	31	12.54	+	2.47	3.77E-05	9.05E-04
glial cell differentiation (GO:0010001)	173	44	21.06	+	2.09	3.96E-05	9.51E-04
metal ion transport (GO:0030001)	326	70	39.68	+	1.76	4.02E-05	9.62E-04
keratinocyte differentiation (GO:0030216)	270	11	32.87	-	.33	4.14E-05	9.90E-04
cellular component assembly (GO:0022607)	2494	235	303.59	-	.77	4.15E-05	9.90E-04
regulation of epithelial cell proliferation (GO:0050678)	340	72	41.39	+	1.74	4.17E-05	9.95E-04
spinal cord association neuron differentiation (GO:0021527)	12	10	1.46	+	6.85	4.19E-05	9.98E-04
negative regulation of neuron apoptotic process (GO:0043524)	146	39	17.77	+	2.19	4.24E-05	1.01E-03
cell junction assembly (GO:0034329)	276	62	33.60	+	1.85	4.25E-05	1.01E-03
RNA localization (GO:0006403)	212	7	25.81	-	.27	4.42E-05	1.05E-03
mesodermal cell differentiation (GO:0048333)	26	14	3.16	+	4.42	4.54E-05	1.07E-03
heart valve development (GO:0003170)	65	23	7.91	+	2.91	4.62E-05	1.09E-03
regulation of epithelial cell differentiation (GO:0030856)	147	39	17.89	+	2.18	4.65E-05	1.10E-03
synapse assembly (GO:0007416)	99	30	12.05	+	2.49	4.68E-05	1.10E-03
epithelial cell differentiation involved in kidney development (GO:0035850)	34	16	4.14	+	3.87	4.70E-05	1.10E-03
positive regulation of smooth muscle contraction (GO:0045987)	30	15	3.65	+	4.11	4.72E-05	1.11E-03
activation of immune response (GO:0002253)	530	33	64.52	-	.51	4.71E-05	1.11E-03
associative learning (GO:0008306)	79	26	9.62	+	2.70	4.77E-05	1.12E-03
keratinization (GO:0031424)	227	8	27.63	-	.29	4.91E-05	1.15E-03
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	48	24.10	+	1.99	4.98E-05	1.16E-03
in utero embryonic development (GO:0001701)	366	76	44.55	+	1.71	5.26E-05	1.23E-03
mitochondrial translation (GO:0032543)	112	1	13.63	-	.07	5.45E-05	1.27E-03
branching involved in ureteric bud morphogenesis (GO:0001658)	43	18	5.23	+	3.44	5.44E-05	1.27E-03
embryonic heart tube development (GO:0035050)	80	26	9.74	+	2.67	5.51E-05	1.28E-03
nuclear export (GO:0051168)	166	4	20.21	-	.20	5.54E-05	1.28E-03
protein deubiquitination (GO:0016579)	278	12	33.84	-	.35	5.60E-05	1.30E-03
sensory perception of pain (GO:0019233)	75	25	9.13	+	2.74	5.94E-05	1.37E-03
mesenchymal to epithelial transition (GO:0060231)	16	11	1.95	+	5.65	5.98E-05	1.38E-03
regulation of BMP signaling pathway (GO:0030510)	101	30	12.29	+	2.44	6.04E-05	1.39E-03
membrane invagination (GO:0010324)	148	3	18.02	-	.17	6.06E-05	1.39E-03
positive regulation of epithelial cell proliferation (GO:0050679)	194	47	23.62	+	1.99	6.33E-05	1.45E-03
phagocytosis, engulfment (GO:0006911)	132	2	16.07	-	.12	6.40E-05	1.47E-03
response to wounding (GO:0009611)	543	103	66.10	+	1.56	6.45E-05	1.48E-03
regulation of epithelial cell migration (GO:0010632)	229	53	27.88	+	1.90	6.61E-05	1.51E-03
Golgi vesicle transport (GO:0048193)	398	22	48.45	-	.45	6.75E-05	1.54E-03
positive regulation of cation channel activity (GO:2001259)	76	25	9.25	+	2.70	6.79E-05	1.55E-03
regulation of neural precursor cell proliferation (GO:2000177)	90	28	10.96	+	2.56	6.90E-05	1.56E-03
endocardial cushion development (GO:0003197)	44	18	5.36	+	3.36	6.90E-05	1.56E-03
sinoatrial node development (GO:0003163)	10	9	1.22	+	7.39	6.87E-05	1.56E-03
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	44	18	5.36	+	3.36	6.90E-05	1.56E-03
spindle organization (GO:0007051)	224	8	27.27	-	.29	6.89E-05	1.56E-03
cellular response to organic cyclic compound (GO:0071407)	511	98	62.20	+	1.58	6.87E-05	1.56E-03
sodium ion transport (GO:0006814)	176	44	21.42	+	2.05	6.86E-05	1.56E-03
chromosome segregation (GO:0007059)	286	13	34.81	-	.37	7.46E-05	1.68E-03
DNA replication (GO:0006260)	273	12	33.23	-	.36	7.49E-05	1.69E-03
regulation of postsynapse organization (GO:0099175)	91	28	11.08	+	2.53	7.57E-05	1.70E-03
regulation of cartilage development (GO:0061035)	71	24	8.64	+	2.78	7.57E-05	1.70E-03
regulation of intracellular signal transduction (GO:1902531)	1839	286	223.86	+	1.28	7.62E-05	1.71E-03
establishment of RNA localization (GO:0051236)	191	6	23.25	-	.26	7.66E-05	1.71E-03
respiratory system development (GO:0060541)	200	48	24.35	+	1.97	7.74E-05	1.73E-03
organonitrogen compound catabolic process (GO:1901565)	1091	88	132.81	-	.66	7.77E-05	1.73E-03
cellular response to metal ion (GO:0071248)	200	48	24.35	+	1.97	7.74E-05	1.73E-03
regulation of transferase activity (GO:0051338)	1033	174	125.75	+	1.38	7.77E-05	1.73E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	136	189.04	-	.72	7.91E-05	1.76E-03
smooth muscle cell differentiation (GO:0051145)	36	16	4.38	+	3.65	8.00E-05	1.77E-03
mitotic spindle organization (GO:0007052)	163	4	19.84	-	.20	8.02E-05	1.78E-03
detection of mechanical stimulus involved in sensory perception (GO:0050974)	36	16	4.38	+	3.65	8.00E-05	1.78E-03
adrenergic receptor signaling pathway (GO:0071875)	24	13	2.92	+	4.45	8.08E-05	1.79E-03
calcium ion transmembrane transport (GO:0070588)	190	46	23.13	+	1.99	8.12E-05	1.79E-03
developmental growth (GO:0048589)	358	74	43.58	+	1.70	8.40E-05	1.85E-03
double-strand break repair (GO:0006302)	204	7	24.83	-	.28	8.49E-05	1.87E-03
epithelial cell development (GO:0002064)	202	48	24.59	+	1.95	8.48E-05	1.87E-03
male sex differentiation (GO:0046661)	161	41	19.60	+	2.09	8.62E-05	1.89E-03
aerobic electron transport chain (GO:0019646)	88	0	10.71	-	 < 0.01	8.61E-05	1.89E-03
mRNA 3'-end processing (GO:0031124)	88	0	10.71	-	 < 0.01	8.61E-05	1.89E-03
translational initiation (GO:0006413)	143	3	17.41	-	.17	8.69E-05	1.90E-03
negative regulation of cell development (GO:0010721)	180	44	21.91	+	2.01	8.69E-05	1.90E-03
regulation of metal ion transport (GO:0010959)	262	58	31.89	+	1.82	8.73E-05	1.90E-03
ribonucleoprotein complex export from nucleus (GO:0071426)	126	2	15.34	-	.13	8.96E-05	1.95E-03
ribonucleoprotein complex localization (GO:0071166)	127	2	15.46	-	.13	9.03E-05	1.96E-03
cellular response to hormone stimulus (GO:0032870)	529	100	64.39	+	1.55	9.01E-05	1.96E-03
growth (GO:0040007)	361	74	43.94	+	1.68	9.03E-05	1.96E-03
positive regulation of synapse assembly (GO:0051965)	59	21	7.18	+	2.92	9.09E-05	1.97E-03
cyclic nucleotide metabolic process (GO:0009187)	41	17	4.99	+	3.41	9.55E-05	2.06E-03
immune system process (GO:0002376)	2903	283	353.38	-	.80	9.65E-05	2.08E-03
regulation of calcium ion transport (GO:0051924)	252	56	30.68	+	1.83	9.78E-05	2.11E-03
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	23	8.16	+	2.82	9.93E-05	2.14E-03
nucleobase-containing compound transport (GO:0015931)	245	10	29.82	-	.34	1.00E-04	2.16E-03
anatomical structure maturation (GO:0071695)	196	47	23.86	+	1.97	1.02E-04	2.18E-03
neuron projection fasciculation (GO:0106030)	21	12	2.56	+	4.69	1.03E-04	2.21E-03
adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	21	12	2.56	+	4.69	1.03E-04	2.21E-03
axonal fasciculation (GO:0007413)	21	12	2.56	+	4.69	1.03E-04	2.22E-03
positive regulation of immune response (GO:0050778)	747	55	90.93	-	.60	1.05E-04	2.24E-03
nucleic acid transport (GO:0050657)	189	6	23.01	-	.26	1.08E-04	2.31E-03
RNA transport (GO:0050658)	189	6	23.01	-	.26	1.08E-04	2.31E-03
genitalia development (GO:0048806)	46	18	5.60	+	3.21	1.09E-04	2.31E-03
positive regulation of peptide secretion (GO:0002793)	110	31	13.39	+	2.32	1.10E-04	2.34E-03
import into cell (GO:0098657)	176	43	21.42	+	2.01	1.11E-04	2.35E-03
tRNA metabolic process (GO:0006399)	190	6	23.13	-	.26	1.11E-04	2.35E-03
cardiac atrium morphogenesis (GO:0003209)	29	14	3.53	+	3.97	1.12E-04	2.37E-03
regulation of osteoblast differentiation (GO:0045667)	120	33	14.61	+	2.26	1.14E-04	2.40E-03
regulation of morphogenesis of a branching structure (GO:0060688)	51	19	6.21	+	3.06	1.19E-04	2.52E-03
cranial nerve development (GO:0021545)	51	19	6.21	+	3.06	1.19E-04	2.52E-03
determination of bilateral symmetry (GO:0009855)	130	35	15.82	+	2.21	1.22E-04	2.56E-03
oligodendrocyte differentiation (GO:0048709)	69	23	8.40	+	2.74	1.23E-04	2.58E-03
bone development (GO:0060348)	189	45	23.01	+	1.96	1.24E-04	2.61E-03
plasma membrane invagination (GO:0099024)	141	3	17.16	-	.17	1.26E-04	2.64E-03
regulation of neurotransmitter transport (GO:0051588)	105	30	12.78	+	2.35	1.27E-04	2.66E-03
epithelial to mesenchymal transition (GO:0001837)	75	24	9.13	+	2.63	1.28E-04	2.67E-03
specification of symmetry (GO:0009799)	131	35	15.95	+	2.19	1.28E-04	2.68E-03
cell differentiation involved in metanephros development (GO:0072202)	18	11	2.19	+	5.02	1.29E-04	2.69E-03
electron transport chain (GO:0022900)	170	5	20.69	-	.24	1.31E-04	2.74E-03
protein-containing complex disassembly (GO:0032984)	228	9	27.75	-	.32	1.32E-04	2.75E-03
ameboidal-type cell migration (GO:0001667)	181	44	22.03	+	2.00	1.32E-04	2.75E-03
RNA modification (GO:0009451)	172	5	20.94	-	.24	1.33E-04	2.76E-03
intracellular signal transduction (GO:0035556)	1677	262	204.14	+	1.28	1.34E-04	2.76E-03
positive regulation of cell migration (GO:0030335)	520	98	63.30	+	1.55	1.33E-04	2.77E-03
determination of heart left/right asymmetry (GO:0061371)	70	23	8.52	+	2.70	1.39E-04	2.86E-03
regulation of ossification (GO:0030278)	115	32	14.00	+	2.29	1.40E-04	2.90E-03
hindlimb morphogenesis (GO:0035137)	34	15	4.14	+	3.62	1.42E-04	2.92E-03
positive regulation of axonogenesis (GO:0050772)	84	26	10.23	+	2.54	1.43E-04	2.94E-03
cartilage condensation (GO:0001502)	22	12	2.68	+	4.48	1.44E-04	2.96E-03
humoral immune response (GO:0006959)	386	22	46.99	-	.47	1.46E-04	2.99E-03
cochlea development (GO:0090102)	52	19	6.33	+	3.00	1.47E-04	3.01E-03
female sex differentiation (GO:0046660)	107	30	13.02	+	2.30	1.54E-04	3.16E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	298	63	36.28	+	1.74	1.55E-04	3.17E-03
muscle cell fate commitment (GO:0042693)	15	10	1.83	+	5.48	1.56E-04	3.19E-03
skeletal muscle organ development (GO:0060538)	134	35	16.31	+	2.15	1.57E-04	3.21E-03
morphogenesis of embryonic epithelium (GO:0016331)	145	37	17.65	+	2.10	1.65E-04	3.37E-03
second-messenger-mediated signaling (GO:0019932)	221	50	26.90	+	1.86	1.67E-04	3.39E-03
negative regulation of Notch signaling pathway (GO:0045746)	39	16	4.75	+	3.37	1.68E-04	3.39E-03
negative regulation of immune system process (GO:0002683)	597	109	72.67	+	1.50	1.67E-04	3.39E-03
development of primary sexual characteristics (GO:0045137)	221	50	26.90	+	1.86	1.67E-04	3.39E-03
glutamate receptor signaling pathway (GO:0007215)	48	18	5.84	+	3.08	1.67E-04	3.39E-03
amide biosynthetic process (GO:0043604)	537	36	65.37	-	.55	1.75E-04	3.54E-03
regulation of neuron apoptotic process (GO:0043523)	210	48	25.56	+	1.88	1.75E-04	3.54E-03
double-strand break repair via homologous recombination (GO:0000724)	101	1	12.29	-	.08	1.77E-04	3.57E-03
regulation of bone remodeling (GO:0046850)	53	19	6.45	+	2.94	1.79E-04	3.60E-03
regulation of fat cell differentiation (GO:0045598)	128	34	15.58	+	2.18	1.79E-04	3.60E-03
regulation of behavior (GO:0050795)	72	23	8.76	+	2.62	1.82E-04	3.65E-03
endocardial cushion morphogenesis (GO:0003203)	35	15	4.26	+	3.52	1.82E-04	3.65E-03
DNA recombination (GO:0006310)	225	9	27.39	-	.33	1.83E-04	3.66E-03
negative regulation of platelet activation (GO:0010544)	19	11	2.31	+	4.76	1.84E-04	3.68E-03
recombinational repair (GO:0000725)	103	1	12.54	-	.08	1.85E-04	3.70E-03
DNA-templated transcription, termination (GO:0006353)	79	0	9.62	-	 < 0.01	1.87E-04	3.74E-03
negative regulation of blood pressure (GO:0045776)	44	17	5.36	+	3.17	1.89E-04	3.77E-03
regulation of complement activation (GO:0030449)	118	2	14.36	-	.14	1.90E-04	3.79E-03
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	147	37	17.89	+	2.07	1.91E-04	3.79E-03
tube formation (GO:0035148)	147	37	17.89	+	2.07	1.91E-04	3.79E-03
striated muscle cell differentiation (GO:0051146)	191	45	23.25	+	1.94	1.93E-04	3.82E-03
neurotransmitter metabolic process (GO:0042133)	31	14	3.77	+	3.71	1.94E-04	3.84E-03
hypothalamus development (GO:0021854)	23	12	2.80	+	4.29	1.98E-04	3.91E-03
cell aggregation (GO:0098743)	23	12	2.80	+	4.29	1.98E-04	3.91E-03
outflow tract morphogenesis (GO:0003151)	67	22	8.16	+	2.70	1.99E-04	3.92E-03
detection of stimulus involved in sensory perception of pain (GO:0062149)	27	13	3.29	+	3.96	2.00E-04	3.93E-03
negative regulation of amine transport (GO:0051953)	27	13	3.29	+	3.96	2.00E-04	3.93E-03
regulation of telomere maintenance (GO:0032204)	81	0	9.86	-	 < 0.01	2.00E-04	3.94E-03
odontogenesis (GO:0042476)	120	32	14.61	+	2.19	2.06E-04	4.04E-03
hippocampus development (GO:0021766)	81	25	9.86	+	2.54	2.06E-04	4.04E-03
negative regulation of nervous system development (GO:0051961)	148	37	18.02	+	2.05	2.07E-04	4.04E-03
regulation of endothelial cell migration (GO:0010594)	170	41	20.69	+	1.98	2.06E-04	4.04E-03
positive regulation of blood pressure (GO:0045777)	40	16	4.87	+	3.29	2.11E-04	4.13E-03
antigen processing and presentation of peptide antigen (GO:0048002)	193	7	23.49	-	.30	2.23E-04	4.36E-03
DNA-dependent DNA replication (GO:0006261)	195	7	23.74	-	.29	2.29E-04	4.45E-03
negative regulation of secretion by cell (GO:1903531)	142	36	17.29	+	2.08	2.29E-04	4.46E-03
forebrain cell migration (GO:0021885)	62	21	7.55	+	2.78	2.31E-04	4.49E-03
regulation of potassium ion transmembrane transporter activity (GO:1901016)	62	21	7.55	+	2.78	2.31E-04	4.49E-03
SMAD protein signal transduction (GO:0060395)	62	21	7.55	+	2.78	2.31E-04	4.50E-03
cardiac atrium development (GO:0003230)	36	15	4.38	+	3.42	2.32E-04	4.50E-03
glandular epithelial cell differentiation (GO:0002067)	45	17	5.48	+	3.10	2.34E-04	4.53E-03
regulation of gliogenesis (GO:0014013)	98	28	11.93	+	2.35	2.34E-04	4.53E-03
midbrain development (GO:0030901)	89	26	10.83	+	2.40	2.37E-04	4.56E-03
response to calcium ion (GO:0051592)	153	38	18.62	+	2.04	2.37E-04	4.56E-03
epithelial tube formation (GO:0072175)	132	34	16.07	+	2.12	2.36E-04	4.56E-03
regulation of sodium ion transport (GO:0002028)	89	26	10.83	+	2.40	2.37E-04	4.57E-03
regulation of glial cell differentiation (GO:0045685)	74	23	9.01	+	2.55	2.42E-04	4.65E-03
cell maturation (GO:0048469)	154	38	18.75	+	2.03	2.49E-04	4.78E-03
determination of left/right symmetry (GO:0007368)	125	33	15.22	+	2.17	2.50E-04	4.80E-03
positive regulation of cartilage development (GO:0061036)	32	14	3.90	+	3.59	2.51E-04	4.80E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	44	22.76	+	1.93	2.53E-04	4.83E-03
regulation of vasoconstriction (GO:0019229)	63	21	7.67	+	2.74	2.56E-04	4.88E-03
RNA phosphodiester bond hydrolysis (GO:0090501)	164	5	19.96	-	.25	2.61E-04	4.97E-03
response to estradiol (GO:0032355)	144	36	17.53	+	2.05	2.62E-04	4.99E-03
translational termination (GO:0006415)	97	1	11.81	-	.08	2.62E-04	4.99E-03
regulation of cardiocyte differentiation (GO:1905207)	28	13	3.41	+	3.81	2.64E-04	4.99E-03
sensory perception of temperature stimulus (GO:0050951)	28	13	3.41	+	3.81	2.64E-04	5.00E-03
heart valve morphogenesis (GO:0003179)	55	19	6.70	+	2.84	2.64E-04	5.00E-03
positive regulation of neural precursor cell proliferation (GO:2000179)	55	19	6.70	+	2.84	2.64E-04	5.01E-03
canonical Wnt signaling pathway (GO:0060070)	84	25	10.23	+	2.44	2.69E-04	5.08E-03
renal vesicle morphogenesis (GO:0072077)	13	9	1.58	+	5.69	2.73E-04	5.16E-03
immune response-activating signal transduction (GO:0002757)	455	29	55.39	-	.52	2.75E-04	5.18E-03
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	29	55.39	-	.52	2.75E-04	5.19E-03
regulation of systemic arterial blood pressure (GO:0003073)	100	28	12.17	+	2.30	2.77E-04	5.20E-03
positive regulation of gliogenesis (GO:0014015)	64	21	7.79	+	2.70	2.86E-04	5.38E-03
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	6	21.67	-	.28	2.93E-04	5.50E-03
immune response-regulating signaling pathway (GO:0002764)	495	33	60.26	-	.55	2.93E-04	5.50E-03
aortic valve development (GO:0003176)	37	15	4.50	+	3.33	2.94E-04	5.51E-03
cardiac ventricle morphogenesis (GO:0003208)	70	22	8.52	+	2.58	2.97E-04	5.56E-03
proteolysis (GO:0006508)	1306	114	158.98	-	.72	2.98E-04	5.57E-03
positive regulation of cellular component organization (GO:0051130)	1161	188	141.33	+	1.33	3.00E-04	5.59E-03
anterior/posterior axon guidance (GO:0033564)	7	7	.85	+	8.21	3.02E-04	5.63E-03
organic substance biosynthetic process (GO:1901576)	2803	277	341.21	-	.81	3.04E-04	5.66E-03
positive regulation of cellular protein metabolic process (GO:0032270)	1474	231	179.43	+	1.29	3.11E-04	5.79E-03
regulation of receptor internalization (GO:0002090)	58	20	7.06	+	2.83	3.14E-04	5.83E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	13	32.74	-	.40	3.21E-04	5.95E-03
regulation of synaptic transmission, GABAergic (GO:0032228)	33	14	4.02	+	3.49	3.22E-04	5.95E-03
proximal/distal pattern formation (GO:0009954)	33	14	4.02	+	3.49	3.22E-04	5.96E-03
response to amphetamine (GO:0001975)	33	14	4.02	+	3.49	3.22E-04	5.97E-03
heart looping (GO:0001947)	65	21	7.91	+	2.65	3.23E-04	5.97E-03
regulation of odontogenesis (GO:0042481)	17	10	2.07	+	4.83	3.28E-04	6.05E-03
protein ubiquitination (GO:0016567)	746	57	90.81	-	.63	3.29E-04	6.05E-03
ureter development (GO:0072189)	17	10	2.07	+	4.83	3.28E-04	6.06E-03
positive regulation of neuron projection development (GO:0010976)	161	39	19.60	+	1.99	3.31E-04	6.09E-03
response to mechanical stimulus (GO:0009612)	220	49	26.78	+	1.83	3.36E-04	6.16E-03
positive regulation of cell junction assembly (GO:1901890)	102	28	12.42	+	2.26	3.36E-04	6.17E-03
telencephalon cell migration (GO:0022029)	59	20	7.18	+	2.78	3.38E-04	6.19E-03
regulation of extent of cell growth (GO:0061387)	112	30	13.63	+	2.20	3.38E-04	6.19E-03
embryonic heart tube morphogenesis (GO:0003143)	71	22	8.64	+	2.55	3.43E-04	6.26E-03
